"nautical"|"port_destination"|"port_origin"|"code_origin"|"code_destination"|"lat_origin"|"long_origin"|"lat_dest"|"long_dest"|"name_origin"|"name_dest"
159|cc0756e0-437b-4403-b4c9-14d4bc895620|"5267592e-5d29-4fdf-8975-7ade3bd50b39"|"863"|"861"|"119.855865"|-0.71057415|"120.85339"|"1.2488221"|Pantoloan|Toli-toli
255|cc0756e0-437b-4403-b4c9-14d4bc895620|bd5d57a7-3fec-4c5f-97b2-5d9c448625e0|"809"|"861"|"117.92812"|"4.255559"|"120.85339"|"1.2488221"|Nunukan/Tunon Taka|Toli-toli
467|c04466cf-3aa8-41a0-8394-552373a24b41|a9dcc099-2fd6-483c-adef-04e59d230dff|"714"|"494"|-0.01988|"109.333"|-175.8223|"30.790016"|Pontianak|Tanjung Emas
260|b456ed3f-543d-416e-98a2-e835bf4f4bec|cc0756e0-437b-4403-b4c9-14d4bc895620|"861"|"920"|"120.85339"|"1.2488221"|||Toli-toli|Amurang
289|ff9be82b-1fa7-4996-8f5e-c43a70e2ba3c|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"946"|"976"|-3.6942|"128.177"|-2.93258|"132.31"|Ambon|Fak-fak
200|d7f680b0-bee8-411a-adc5-aa56eabf72db|ff9be82b-1fa7-4996-8f5e-c43a70e2ba3c|"976"|"971"|-2.93258|"132.31"|-0.8822873|"131.25055"|Fak-fak|Sorong
182|"227d5884-a767-4113-b500-999caf5d7c02"|ff9be82b-1fa7-4996-8f5e-c43a70e2ba3c|"976"|"977"|-2.93258|"132.31"|-3.66178|"133.761"|Fak-fak|Kaimana
170|"1334ec95-cc8a-4464-a263-0b0beee559da"|ddac0441-65ff-4960-b993-87c73ebc2d85|"322"|"251"|-1.62999|"105.733"|"0.86088"|"104.612"|Belinyu|Sei Kolak Kijang
160|"1d13d72b-741b-4272-86d4-d42f710113b3"|"1334ec95-cc8a-4464-a263-0b0beee559da"|"251"|"269"|"0.86088"|"104.612"|"2.99203"|"105.695"|Sei Kolak Kijang|Letung
310|"3c42cdbb-1dd7-4214-99d3-ffabc2c2a93d"|"05aa9d6c-6999-4f7a-b4d6-7dddca9db337"|"973"|"974"|-1.18419|"136.077"|-2.54|"140.71365"|Biak|Jayapura
132|c069f8c4-4a93-4021-9a75-c9aadb3b4a1c|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"946"|"947"|-3.6942|"128.177"|-4.5285697|"129.88885"|Ambon|Banda Naira
197|"1b6b1e35-570c-4a43-bc1a-9f7715cc2f08"|c069f8c4-4a93-4021-9a75-c9aadb3b4a1c|"947"|"949"|-4.5285697|"129.88885"|-5.62852|"132.73883"|Banda Naira|Tual
52|"395f3f65-4df6-4716-af13-2d5f0e02bdd7"|ca64bb78-97b1-476d-840e-8bbe475ff906|"681"|"696"|None|None|-10.605|"123.232"|Kupang|Baa, Rote
115|"5463607b-dcab-4475-be30-e3a91d051e95"|ca64bb78-97b1-476d-840e-8bbe475ff906|"681"|"697"|None|None|None|None|Kupang|Seba, Sabu
105|"5463607b-dcab-4475-be30-e3a91d051e95"|"4da0c5b5-7d67-4f73-bf2d-bf74c67655d9"|"684"|"697"|-8.845323|"121.64289"|None|None|Ende|Seba, Sabu
295|c2f757c2-442b-4fce-9a53-4292baf0f776|cc0756e0-437b-4403-b4c9-14d4bc895620|"861"|"803"|"120.85339"|"1.2488221"|-1.26835|"116.809"|Toli-toli|Semayang
250|"80a4b48e-2bbb-42f8-b0f5-aed166f81eb3"|"268f0392-8e92-4f27-9a11-5c2703cf62df"|"613"|"655"|-8.74296|"115.212"|-8.444626|"118.71112"|Benoa|Bima
235|a5e44d1c-a5e0-44de-831f-69aeb13500f7|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|"893"|"773"|"5.0725"|"119.222"|-3.43229|"116.009"|Makassar|Samudera, Batulicin
197|b2674a83-0456-4666-893d-7c7522f9232b|"0f64cb53-2e97-4fe3-87a0-7b2e77903410"|"336"|"431"|-2.76283|"107.621"|None|None|Tanjung Pandan|Tanjung Priok
261|"3349ad05-b76a-47d2-ae53-83e0b2b457ab"|a5e44d1c-a5e0-44de-831f-69aeb13500f7|"773"|"891"|-3.43229|"116.009"|None|None|Samudera, Batulicin|Awerange/Barru
498|b2674a83-0456-4666-893d-7c7522f9232b|"1334ec95-cc8a-4464-a263-0b0beee559da"|"251"|"431"|"0.86088"|"104.612"|None|None|Sei Kolak Kijang|Tanjung Priok
560|af181acc-3b91-46f0-8f76-006dcd4b2d9f|b2674a83-0456-4666-893d-7c7522f9232b|"431"|"266"|None|None|"0.5929"|"103.26223"|Tanjung Priok|Tanjung Balai Karimun
140|b166ff1e-a3f6-4899-a4f4-27f7ad076b6a|"05aa9d6c-6999-4f7a-b4d6-7dddca9db337"|"973"|"972"|-1.18419|"136.077"|-0.86889|"134.073"|Biak|Manokwari
547|"19887a24-9011-425f-bc0c-5f5cd512ba5a"|a9dcc099-2fd6-483c-adef-04e59d230dff|"714"|"563"|-0.01988|"109.333"|-7.19812|"112.733"|Pontianak|Tanjung Perak
396|"19887a24-9011-425f-bc0c-5f5cd512ba5a"|b2674a83-0456-4666-893d-7c7522f9232b|"431"|"563"|None|None|-7.19812|"112.733"|Tanjung Priok|Tanjung Perak
458|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|"19887a24-9011-425f-bc0c-5f5cd512ba5a"|"563"|"893"|-7.19812|"112.733"|"5.0725"|"119.222"|Tanjung Perak|Makassar
289|d9545117-0c0d-4757-a620-f92c2885f997|"19887a24-9011-425f-bc0c-5f5cd512ba5a"|"563"|"747"|-7.19812|"112.733"|"111.915886"|-2.6103978|Tanjung Perak|Kumai
293|"3e8f594a-bf5a-43ff-aeb5-2bdcc285d0dd"|"19887a24-9011-425f-bc0c-5f5cd512ba5a"|"563"|"746"|-7.19812|"112.733"|"113.01363"|-2.319677|Tanjung Perak|Sampit
